,year,company,eia_id,cec_id,plant,state,capacity_MW,gross_MWhm,net_MWh
348,2016,See WPRS for details,Missing,W0413,WAGNER WIND LLC,CA,6.0,19161,19161
349,2016,See WPRS for details,Missing,W0420,Manzana Wind,CA,189.0,539071,539071
350,2016,See WPRS for details,Missing,W0421,Shiloh III Wind Project LLC,CA,102.5,260264,260264
351,2016,See WPRS for details,Missing,W0422,Shiloh IV Wind Project LLC,CA,102.5,282860,282860
352,2016,See WPRS for details,Missing,W0426,Buena Vista Energy LLC,CA,38.0,94963,94963
353,2016,See WPRS for details,Missing,W0429,Helzel & Schwarzhoff 88 (Decommissioned 3/31/2016),CA,1.5,437,437
354,2016,See WPRS for details,Missing,W0430,Mountain View IV,CA,49.0,170594,170594
355,2016,See WPRS for details,Missing,W0437,Wintec Energy #2-A,CA,1.3,3838,3838
356,2016,See WPRS for details,59236,W0438,Rising Tree Wind Farm III,CA,99.0,321253,321253
357,2016,See WPRS for details,Missing,W0439,Dutch Energy Wind Farm,CA,9.5,18801,18801
358,2016,See WPRS for details,Missing,W0440,Garnet Wind Energy Center,CA,6.5,18632,18632
359,2016,See WPRS for details,Missing,W0441,Alta X Wind Energy Center,CA,136.8,364573,364573
360,2016,See WPRS for details,Missing,W0442,Alta XI Wind Energy Center,CA,89.7,276093,276093
361,2016,See WPRS for details,Missing,W0443,Mojave 4,CA,29.0,79508,79508
362,2016,See WPRS for details,Missing,W0444,Mojave 5,CA,22.5,65104,65104
363,2016,See WPRS for details,Missing,W0445,Coram Tehachapi LP,CA,6.5,14093,14093
